"","Zip","medIncome","avgIncome","percapIncome","highIncomePct"
"84",44286,117390,175662,67540,0.228
"85",43756,39778,51395,24689,0.012
"86",45817,76699,86757,33633,0.04
"87",44236,131956,169601,61856,0.267
"88",44710,41365,49888,22592,0.004
"89",45208,110448,160158,78479,0.226
"90",44438,35678,47183,21612,0.015
"91",45505,34792,47013,19371,0.008
"92",43214,72569,92851,44885,0.087
"93",43085,88716,115198,45650,0.124
"94",44092,54306,68358,32231,0.018
"95",44425,51376,70708,31209,0.031
"96",43082,124348,151793,54500,0.226
"97",45874,63077,75325,31166,0.025
"98",45067,77183,83752,29312,0.044
"99",43537,77379,97884,41759,0.058
"100",44706,49857,59352,25386,0.005
"101",43723,37545,51030,20463,0.016
"102",43912,43906,56725,26283,0.018
"103",45419,79860,113106,49415,0.124
"104",43055,48884,64154,26003,0.028
"105",43206,55043,79931,37735,0.06
"106",44067,81462,98672,40446,0.084
"107",43113,53735,68437,27172,0.027
"108",44509,28656,47494,21551,0.012
"109",43147,102641,114126,39243,0.102
"110",43611,44233,57449,25380,0.018
"111",44077,64777,85057,33920,0.06
"112",44483,38402,52684,23256,0.015
"113",43614,47496,63485,29941,0.019
"114",45373,62479,80275,32171,0.047
"115",45246,58376,81988,35560,0.055
"116",43230,83084,94341,38887,0.057
"117",44455,51607,59106,26529,0
"118",45638,40148,52863,21844,0.012
"119",45040,104758,139737,51477,0.213
"120",45255,73500,103390,42274,0.099
"121",45322,65441,79032,32406,0.03
"122",44060,72521,86817,36815,0.054
"123",44305,40479,49453,21584,0.009
"124",43224,38264,48581,19948,0.008
"125",45426,35637,49901,22921,0.005
"126",44241,65816,75325,30711,0.02
"127",43780,54625,81781,41331,0.042
"128",45365,59714,70913,27946,0.023
"129",43213,43706,57021,24893,0.015
"130",43502,64481,78727,30767,0.044
